date-time,Spy
20100104T0931,112.415
20100104T0932,112.45
20100104T0933,112.451
20100104T0934,112.41
20100104T0935,112.43
20100104T0936,112.58
20100104T0937,112.62
20100104T0938,112.66
20100104T0939,112.66
20100104T0940,112.64
20100104T0941,112.73
20100104T0942,112.71
20100104T0943,112.69
20100104T0944,112.7
20100104T0945,112.73
20100104T0946,112.87
20100104T0947,112.875
20100104T0948,112.88
20100104T0949,112.93
20100104T0950,112.94
20100104T0951,112.9
20100104T0952,112.87
20100104T0953,112.83
20100104T0954,112.8
20100104T0955,112.82
20100104T0956,112.78
20100104T0957,112.81
20100104T0958,112.82
20100104T0959,112.81
20100104T1000,112.83
20100104T1001,112.89
20100104T1002,112.83
20100104T1003,112.905
20100104T1004,112.87
20100104T1005,112.75
20100104T1006,112.86
20100104T1007,112.9
20100104T1008,112.87
20100104T1009,112.85
20100104T1010,112.93
20100104T1011,112.86
20100104T1012,112.85
20100104T1013,112.83
20100104T1014,112.87
20100104T1015,112.9
20100104T1016,112.89
20100104T1017,112.87
20100104T1018,112.84
20100104T1019,112.86
20100104T1020,112.86
20100104T1021,112.87
20100104T1022,112.85
20100104T1023,112.87
20100104T1024,112.89
20100104T1025,112.9
20100104T1026,112.93
20100104T1027,112.96
20100104T1028,113.039
20100104T1029,113.0875
20100104T1030,113.085
20100104T1031,113.115
20100104T1032,113.09
20100104T1033,113.1
20100104T1034,113.09
20100104T1035,113.07
20100104T1036,113.08
20100104T1037,113.12
20100104T1038,113.12
20100104T1039,113.09
20100104T1040,113.09
20100104T1041,113.09
20100104T1042,113.1025
20100104T1043,113.1
20100104T1044,113.1491
20100104T1045,113.18
20100104T1046,113.1
20100104T1047,113.12
20100104T1048,113.1599
20100104T1049,113.15
20100104T1050,113.16
20100104T1051,113.15
20100104T1052,113.1565
20100104T1053,113.21
20100104T1054,113.24
20100104T1055,113.14
20100104T1056,113.15
20100104T1057,113.19
20100104T1058,113.18
20100104T1059,113.16
20100104T1100,113.1
20100104T1101,113.13
20100104T1102,113.139
20100104T1103,113.16
20100104T1104,113.14
20100104T1105,113.14
20100104T1106,113.13
20100104T1107,113.13
20100104T1108,113.18
20100104T1109,113.16
20100104T1110,113.18
20100104T1111,113.18
20100104T1112,113.16
20100104T1113,113.14
20100104T1114,113.1425
20100104T1115,113.15
20100104T1116,113.15
20100104T1117,113.14
20100104T1118,113.15
20100104T1119,113.16
20100104T1120,113.15
20100104T1121,113.15
20100104T1122,113.18
20100104T1123,113.21
20100104T1124,113.24
20100104T1125,113.28
20100104T1126,113.22
20100104T1127,113.225
20100104T1128,113.21
20100104T1129,113.18
20100104T1130,113.23
20100104T1131,113.2417
20100104T1132,113.23
20100104T1133,113.28
20100104T1134,113.31
20100104T1135,113.2705
20100104T1136,113.27
20100104T1137,113.2999
20100104T1138,113.31
20100104T1139,113.27
20100104T1140,113.2525
20100104T1141,113.28
20100104T1142,113.28
20100104T1143,113.3106
20100104T1144,113.34
20100104T1145,113.33
20100104T1146,113.289
20100104T1147,113.31
20100104T1148,113.315
20100104T1149,113.3
20100104T1150,113.31
20100104T1151,113.3035
20100104T1152,113.31
20100104T1153,113.32
20100104T1154,113.33
20100104T1155,113.34
20100104T1156,113.302
20100104T1157,113.34
20100104T1158,113.34
20100104T1159,113.3
20100104T1200,113.275
20100104T1201,113.27
20100104T1202,113.28
20100104T1203,113.27
20100104T1204,113.253
20100104T1205,113.26
20100104T1206,113.27
20100104T1207,113.28
20100104T1208,113.29
20100104T1209,113.29
20100104T1210,113.285
20100104T1211,113.27
20100104T1212,113.26
20100104T1213,113.28
20100104T1214,113.28
20100104T1215,113.28
20100104T1216,113.28
20100104T1217,113.29
20100104T1218,113.27
20100104T1219,113.26
20100104T1220,113.2501
20100104T1221,113.27
20100104T1222,113.26
20100104T1223,113.29
20100104T1224,113.3
20100104T1225,113.282
20100104T1226,113.3
20100104T1227,113.3
20100104T1228,113.3
20100104T1229,113.28
20100104T1230,113.3
20100104T1231,113.3
20100104T1232,113.3
20100104T1233,113.3
20100104T1234,113.3
20100104T1235,113.305
20100104T1236,113.33
20100104T1237,113.33
20100104T1238,113.3
20100104T1239,113.3298
20100104T1240,113.3
20100104T1241,113.28
20100104T1242,113.31
20100104T1243,113.31
20100104T1244,113.34
20100104T1245,113.32
20100104T1246,113.34
20100104T1247,113.35
20100104T1248,113.32
20100104T1249,113.33
20100104T1250,113.32
