Date,MBI
20100104T0931,0
20100104T0932,0
20100104T0933,0
20100104T0934,0
20100104T0935,0
20100104T0936,0
20100104T0937,0
20100104T0938,0
20100104T0939,0
20100104T0940,0
20100104T0941,0
20100104T0942,0
20100104T0943,0
20100104T0944,0
20100104T0945,0
20100104T0946,0
20100104T0947,0
20100104T0948,0
20100104T0949,0
20100104T0950,0
20100104T0951,0
20100104T0952,0
20100104T0953,0
20100104T0954,0
20100104T0955,0
20100104T0956,0
20100104T0957,0
20100104T0958,0
20100104T0959,0
20100104T1000,0
20100104T1001,0
20100104T1002,0
20100104T1003,0
20100104T1004,0
20100104T1005,0
20100104T1006,0
20100104T1007,0
20100104T1008,0
20100104T1009,0
20100104T1010,0
20100104T1011,0
20100104T1012,0
20100104T1013,0
20100104T1014,0
20100104T1015,0
20100104T1016,0
20100104T1017,0
20100104T1018,0
20100104T1019,0
20100104T1020,0
20100104T1021,0
20100104T1022,0
20100104T1023,0
20100104T1024,0
20100104T1025,0
20100104T1026,0
20100104T1027,0
20100104T1028,0
20100104T1029,0
20100104T1030,0
20100104T1031,0
20100104T1032,0
20100104T1033,0
20100104T1034,0
20100104T1035,0
20100104T1036,0
20100104T1037,0
20100104T1038,0
20100104T1039,0
20100104T1040,0
20100104T1041,0
20100104T1042,0
20100104T1043,0
20100104T1044,0
20100104T1045,0
20100104T1046,0
20100104T1047,0
20100104T1048,0
20100104T1049,0
20100104T1050,0
20100104T1051,0
20100104T1052,0
20100104T1053,0
20100104T1054,0
20100104T1055,0
20100104T1056,0
20100104T1057,0
20100104T1058,0
20100104T1059,0
20100104T1100,0
20100104T1101,0
20100104T1102,0
20100104T1103,0
20100104T1104,0
20100104T1105,0
20100104T1106,0
20100104T1107,0
20100104T1108,0
20100104T1109,0
20100104T1110,0
20100104T1111,0
20100104T1112,0
20100104T1113,0
20100104T1114,0
20100104T1115,0
20100104T1116,0
20100104T1117,0
20100104T1118,0
20100104T1119,0
20100104T1120,0
20100104T1121,0
20100104T1122,0
20100104T1123,0
20100104T1124,0
20100104T1125,0
20100104T1126,0
20100104T1127,0
20100104T1128,0
20100104T1129,0
20100104T1130,0
20100104T1131,0
20100104T1132,0
20100104T1133,0
20100104T1134,0
20100104T1135,0
20100104T1136,0
20100104T1137,0
20100104T1138,0
20100104T1139,0
20100104T1140,0
20100104T1141,0
20100104T1142,0
20100104T1143,0
20100104T1144,0
20100104T1145,0
20100104T1146,0
20100104T1147,0
20100104T1148,0
20100104T1149,0
20100104T1150,0
20100104T1151,0
20100104T1152,0
20100104T1153,0
20100104T1154,0
20100104T1155,0
20100104T1156,0
20100104T1157,0
20100104T1158,0
20100104T1159,0
20100104T1200,0
20100104T1201,0
20100104T1202,0
20100104T1203,0
20100104T1204,0
20100104T1205,0
20100104T1206,0
20100104T1207,0
20100104T1208,0
20100104T1209,0
20100104T1210,0
20100104T1211,0
20100104T1212,0
20100104T1213,0
20100104T1214,0
20100104T1215,0
20100104T1216,0
20100104T1217,0
20100104T1218,0
20100104T1219,0
20100104T1220,0
20100104T1221,0
20100104T1222,0
20100104T1223,0
20100104T1224,0
20100104T1225,0
20100104T1226,0
20100104T1227,0
20100104T1228,0
20100104T1229,0
20100104T1230,0
20100104T1231,0
20100104T1232,0
20100104T1233,0
20100104T1234,0
20100104T1235,0
20100104T1236,0
20100104T1237,0
20100104T1238,0
20100104T1239,0
20100104T1240,0
20100104T1241,0
20100104T1242,0
20100104T1243,0
20100104T1244,0
20100104T1245,0
20100104T1246,0
20100104T1247,0
20100104T1248,0
20100104T1249,0
20100104T1250,0
20100104T1251,0
20100104T1252,0
20100104T1253,0
20100104T1254,0
20100104T1255,0
20100104T1256,0
20100104T1257,0
20100104T1258,0
20100104T1259,0
20100104T1300,0
20100104T1301,0
20100104T1302,0
20100104T1303,0
20100104T1304,0
20100104T1305,0
20100104T1306,0
20100104T1307,0
20100104T1308,0
20100104T1309,0
20100104T1310,0
20100104T1311,0
20100104T1312,0
20100104T1313,0
20100104T1314,0
20100104T1315,0
20100104T1316,0
